Nombre,Servicios,Numero de Servicios,Precio Total,Máximo Precio Total,Mínimo Precio Total,Moda Precio Total,Precio Total por Viajero,Máximo Precio Total por Viajero,Mínimo Precio Total por Viajero,Moda Precio Total por Viajero,Precio por Noche,Máximo Precio por Noche,Mínimo Precio por Noche,Moda Precio por Noche,Precio por Noche por Viajero,Máximo Precio por Noche por Viajero,Mínimo Precio por Noche por Viajero,Moda Precio por Noche por Viajero,Latitud,Longitud,URL
Vivienda En Santander,"- Cocina
- Wifi
- Aparcamiento gratuito en las instalaciones
- TV
- Secador de pelo
- Frigorífico
- Microondas
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",11,416,,,,104,,,X,110,,,,28,,,,43.4413,-3.8863,https://www.airbnb.es/rooms/1403526912578031681?adults=4&check_in=2025-07-08&check_out=2025-07-11&search_mode=regular_search&source_impression_id=p3_1748006503_P3wmhN_IDrk_qpeK&previous_page_section_name=1000
Apto/Parking Junto A La 2A Playa De El Sardinero,"- Acceso compartido a la playa
- Cocina
- Wifi
- Zona para trabajar
- Aparcamiento gratuito en garaje en la propiedad: 1 plaza
- TV
- Ascensor
- Lavadora en el alojamiento (Gratis)
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",12,492,,,X,123,,,,135,,,,34,,,,43.47388,-3.79207,https://www.airbnb.es/rooms/1002585128717830621?adults=4&check_in=2025-07-08&check_out=2025-07-11&search_mode=regular_search&source_impression_id=p3_1748006503_P3_KioCETwhk0zNc&previous_page_section_name=1000
Dúplex Reformado En El Centro,"- Cocina
- Wifi
- TV
- Ascensor
- Lavadora
- Cuna
- Secador de pelo
- Frigorífico
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",12,623,,,,156,,,,137,,,,35,,,,43.45996,-3.81735,https://www.airbnb.es/rooms/1187587913509610821?adults=4&check_in=2025-07-07&check_out=2025-07-11&search_mode=regular_search&children=0&infants=0&pets=0&source_impression_id=p3_1748006503_P3_dUy5w6mc-2QRq&previous_page_section_name=1000
"★Apto Benidorm★ (Familiar, Vistas, Cerca Playa)","- Vistas al mar
- Vistas al parque
- Cocina
- Wifi
- Aparcamiento gratuito en la calle
- Admite mascotas
- TV
- Ascensor
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",12,644,,,,161,,,,100,,,X,25,,,X,43.47134,-3.79445,https://www.airbnb.es/rooms/43305033?adults=4&check_in=2025-07-08&check_out=2025-07-13&search_mode=regular_search&children=0&infants=0&pets=0&source_impression_id=p3_1748006503_P3BeJaO3YRtDVX0o&previous_page_section_name=1000
Acogedor Loft En Puertochico,"- Cocina
- Wifi
- Zona para trabajar
- TV
- Ascensor
- Lavadora
- Patio privado o balcón
- Secador de pelo
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",12,445,,,,112,,,,90,,,,23,,,,43.4646,-3.7974,https://www.airbnb.es/rooms/47156893?adults=4&check_in=2025-07-07&check_out=2025-07-11&search_mode=regular_search&children=0&infants=0&pets=0&source_impression_id=p3_1748006503_P3iPJiOGL9w3Gh-c&previous_page_section_name=1000
Calle Central Llena De Luz,"- Cocina
- Wifi
- Zona para trabajar
- TV
- Ascensor
- Lavadora
- Secador de pelo
- Frigorífico
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",12,626,,,,157,,,,145,,,,37,,,,43.45999,-3.81442,https://www.airbnb.es/rooms/1390562549102906319?adults=4&check_in=2025-07-07&check_out=2025-07-11&search_mode=regular_search&children=0&infants=0&pets=0&source_impression_id=p3_1748006503_P37z-Q9EHGU6xoYO&previous_page_section_name=1000
Apartamento Céntrico En Santander!,"- Cocina
- Wifi
- Aparcamiento gratuito en la calle
- Admite mascotas
- Televisión de alta definición de 55 pulgadas
- Ascensor
- Lavadora
- Cámaras de seguridad en los exteriores de la propiedad
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",12,585,,,,147,,,,100,,,X,25,,,X,43.45354,-3.81963,https://www.airbnb.es/rooms/844610714301808704?adults=4&check_in=2025-07-08&check_out=2025-07-13&search_mode=regular_search&children=0&infants=0&pets=0&source_impression_id=p3_1748006503_P3SnTiVBqd0GzrJK&previous_page_section_name=1000
Piso A Estrenar A Un Paso De La Playa,"- Cocina
- Wifi
- Zona para trabajar
- Aparcamiento gratuito en la calle
- TV
- Lavadora
- Secador de pelo
- Frigorífico
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",12,861,X,,,216,X,,,140,,,,35,,,,43.46916,-3.7999,https://www.airbnb.es/rooms/1181685408250996411?adults=4&check_in=2025-07-08&check_out=2025-07-13&search_mode=regular_search&children=0&infants=0&pets=0&source_impression_id=p3_1748006503_P3litvFWK9cQLKm7&previous_page_section_name=1000
Amplitud Y Luz En Pleno Centro.,"- Cocina
- Wifi
- Zona para trabajar
- TV
- Ascensor
- Lavadora
- Secador de pelo
- Frigorífico
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",12,486,,,,122,,,,124,,,,31,,,,43.4604,-3.81818,https://www.airbnb.es/rooms/896856906980523329?adults=4&check_in=2025-07-08&check_out=2025-07-11&search_mode=regular_search&source_impression_id=p3_1748006503_P3i3alcoIdov7I74&previous_page_section_name=1000
Santander Centro Con Parking,"- Vistas al perfil urbano
- Vistas al jardín
- Acceso compartido a la playa
- Cocina
- Wifi rápido (616 Mbps)
- Aparcamiento gratuito en la entrada dentro de la propiedad: 2 plazas
- Lavadora en el alojamiento (Gratis)
- Bañera
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",12,492,,,X,123,,,,140,,,,35,,,,43.4683,-3.8057,https://www.airbnb.es/rooms/657920127935199542?adults=4&check_in=2025-07-08&check_out=2025-07-11&search_mode=regular_search&source_impression_id=p3_1748006503_P3jpH9iNoQd-Y8yJ&previous_page_section_name=1000
Santander | Urbano | Playas | Wifi | Smart Tv,"- Cocina
- Wifi
- TV
- Lavadora
- Cuna: disponible previa solicitud
- No disponible: Detector de humo
Detector de humo",7,435,,,,109,,,,145,,,,37,,,,43.465,-3.8188,https://www.airbnb.es/rooms/1335486264101290050?adults=4&check_in=2025-07-08&check_out=2025-07-11&search_mode=regular_search&source_impression_id=p3_1748006503_P3PU6JbFj6q-CASz&previous_page_section_name=1000
Hogar Familiar A 5 Min Centro,"- Cocina
- Wifi
- TV
- Lavadora
- No disponible: Detector de monóxido de carbono
Detector de monóxido de carbono
- No disponible: Detector de humo
Detector de humo",8,414,,,,104,,,X,118,,,,30,,,,43.4667907,-3.8084352,https://www.airbnb.es/rooms/1394326773995785015?adults=4&check_in=2025-07-08&check_out=2025-07-11&search_mode=regular_search&source_impression_id=p3_1748006503_P3MNaTvFfNan7lMj&previous_page_section_name=1000
